Title,Revenue
Guardians of the Galaxy,333.13
Prometheus,126.46
Split,138.12
Sing,270.32
Suicide Squad,325.02
The Great Wall,45.13
La La Land,151.06
Mindhorn,
The Lost City of Z,8.01
Passengers,100.01
Fantastic Beasts and Where to Find Them,234.02
Hidden Figures,169.27
Rogue One,532.17
Moana,248.75
Colossal,2.87
The Secret Life of Pets,368.31
Hacksaw Ridge,67.12
Jason Bourne,162.16
Lion,51.69
Arrival,100.5
Gold,7.22
Manchester by the Sea,47.7
Hounds of Love,
Trolls,153.69
Independence Day: Resurgence,103.14
Paris pieds nus,
Bahubali: The Beginning,6.5
Dead Awake,0.01
Bad Moms,113.08
Assassin's Creed,54.65
Why Him?,60.31
Nocturnal Animals,10.64
X-Men: Apocalypse,155.33
Deadpool,363.02
Resident Evil: The Final Chapter,26.84
Captain America: Civil War,408.08
Interstellar,187.99
Doctor Strange,232.6
The Magnificent Seven,93.38
5/25/77,
Sausage Party,97.66
Moonlight,27.85
The Founder,12.79
Lowriders,4.21
Pirates of the Caribbean: On Stranger Tides,241.06
Miss Sloane,3.44
Fallen,
Star Trek Beyond,158.8
The Last Face,
Star Wars: Episode VII - The Force Awakens,936.63
Underworld: Blood Wars,30.35
Mother's Day,32.46
John Wick,43
The Dark Knight,533.32
Silence,7.08
Don't Breathe,89.21
Me Before You,56.23
Their Finest,3.18
Sully,125.07
Batman v Superman: Dawn of Justice,330.25
The Autopsy of Jane Doe,
The Girl on the Train,75.31
Fifty Shades of Grey,166.15
The Prestige,53.08
Kingsman: The Secret Service,128.25
Patriots Day,31.86
Mad Max: Fury Road,153.63
Wakefield,0.01
Deepwater Horizon,61.28
The Promise,
Allied,40.07
A Monster Calls,3.73
Collateral Beauty,30.98
Zootopia,341.26
Pirates of the Caribbean: At World's End,309.4
The Avengers,623.28
Inglourious Basterds,120.52
Pirates of the Caribbean: Dead Man's Chest,423.03
Ghostbusters,128.34
Inception,292.57
Captain Fantastic,5.88
The Wolf of Wall Street,116.87
Gone Girl,167.74
Furious Seven,350.03
Jurassic World,652.18
Live by Night,10.38
Avatar,760.51
The Hateful Eight,54.12
The Accountant,86.2
Prisoners,60.96
Warcraft,47.17
The Help,169.71
War Dogs,43.02
Avengers: Age of Ultron,458.99
The Nice Guys,36.25
Kimi no na wa,4.68
The Void,0.15
Personal Shopper,1.29
The Departed,132.37
Legend,1.87
Thor,181.02
The Martian,228.43
Contratiempo,
The Man from U.N.C.L.E.,45.43
Hell or High Water,26.86
The Comedian,1.66
The Legend of Tarzan,126.59
All We Had,
Ex Machina,25.44
The Belko Experiment,10.16
12 Years a Slave,56.67
The Bad Batch,
300,210.59
Harry Potter and the Deathly Hallows: Part 2,380.96
Office Christmas Party,54.73
The Neon Demon,1.33
Dangal,11.15
10 Cloverfield Lane,71.9
Finding Dory,486.29
Miss Peregrine's Home for Peculiar Children,87.24
Divergent,150.83
Mike and Dave Need Wedding Dates,46.01
Boyka: Undisputed IV,
The Dark Knight Rises,448.13
The Jungle Book,364
Transformers: Age of Extinction,245.43
Nerve,38.56
Mamma Mia!,143.7
The Revenant,183.64
Fences,57.64
Into the Woods,128
The Shallows,55.12
Whiplash,13.09
Furious 6,238.67
The Place Beyond the Pines,21.38
No Country for Old Men,74.27
The Great Gatsby,144.81
Shutter Island,127.97
Brimstone,
Star Trek,257.7
Diary of a Wimpy Kid,64
The Big Short,70.24
Room,14.68
Django Unchained,162.8
Ah-ga-ssi,2.01
The Edge of Seventeen,14.26
Watchmen,107.5
Superbad,121.46
Inferno,34.26
The BFG,55.47
The Hunger Games,408
White Girl,0.2
Sicario,46.88
Twin Peaks: The Missing Pieces,
Aliens vs Predator - Requiem,41.8
Pacific Rim,101.79
"Crazy, Stupid, Love.",84.24
